Movie,Year
The Caveman's Valentine,2001
The Mexican,2001
See Spot Run,2001
The Gleaners and I,2001
15 Minutes,2001
Get Over It,2001
Things You Can Tell Just by Looking at Her,2001
Elling,2001
Enemy at the Gates,2001
Exit Wounds,2001
Memento,2001
The Brothers,2001
Heartbreakers,2001
Say It Isn't So,2001
Wit,2001
Someone Like You,2001
Spy Kids,2001
The Tailor of Panama,2001
Tomcats,2001
Yamakasi,2001
Along Came a Spider,2001
Blow,2001
Just Visiting,2001
Pokémon 3: The Movie,2001
Joe Dirt,2001
Josie and the Pussycats,2001
Kingdom Come,2001
Bridget Jones's Diary,2001
The Center of the World,2001
Crocodile Dundee in Los Angeles,2001
Freddy Got Fingered,2001
With a Friend Like Harry,2001
Driven,2001
The Forsaken,2001
The Golden Bowl,2001
One Night at McCool's,2001
Town & Country,2001
61*,2001
Mockingbird Don't Sing,2001
The King Is Alive,2001
A Knight's Tale,2001
About Adam,2001
Angel Eyes,2001
Conspiracy,2001
The Man Who Cried,2001
The Animal,2001
Moulin Rouge!,2001
What's the Worst That Could Happen?,2001
The Anniversary Party,2001
Bride of the Wind,2001
Evolution,2001
Swordfish,2001
Y tu mamá también,2001
Stanley Kubrick: A Life in Pictures,2001
Atlantis: The Lost Empire,2001
Lara Croft: Tomb Raider,2001
Sexy Beast,2001
Dr. Dolittle 2,2001
The Fast and the Furious,2001
The Princess and the Warrior,2001
Baby Boy,2001
A.I. Artificial Intelligence,2001
Crazy/Beautiful,2001
Pootie Tang,2001
Cats & Dogs,2001
Scary Movie 2,2001
Kiss of the Dragon,2001
Lost and Delirious,2001
Final Fantasy: The Spirits Within,2001
Bully,2001
Legally Blonde,2001
Made,2001
The Score,2001
America's Sweethearts,2001
Ghost World,2001
Hedwig and the Angry Inch,2001
Wet Hot American Summer,2001
Apocalypse Now Redux,2001
Karumadikkuttan,2001
The Living Forest,2001
Original Sin,2001
The Princess Diaries,2001
All Over the Guy,2001
American Pie 2,2001
Osmosis Jones,2001
The Others,2001
Dinner with Friends,2001
American Outlaws,2001
Captain Corelli's Mandolin,2001
Rat Race,2001
An American Rhapsody,2001
Bubble Boy,2001
The Curse of the Jade Scorpion,2001
Ghosts of Mars,2001
Happy Accidents,2001
Jay and Silent Bob Strike Back,2001
Summer Catch,2001
Jeepers Creepers,2001
O,2001
Megiddo: The Omega Code 2,2001
The Musketeer,2001
Rock Star,2001
Soul Survivors,2001
Two Can Play That Game,2001
The Glass House,2001
Hardball,2001
Glitter,2001
Born Romantic,2001
Dinner Rush,2001
Don't Say a Word,2001
Hearts in Atlantis,2001
Zoolander,2001
Joy Ride,2001
Max Keeble's Big Move,2001
Serendipity,2001
Training Day,2001
Scooby-Doo and the Cyber Chase,2001
Bandits,2001
Corky Romano,2001
Iron Monkey,2001
Mulholland Drive,2001
My First Mister,2001
From Hell,2001
The Last Castle,2001
Riding in Cars with Boys,2001
Waking Life,2001
A Chronicle of Corpses,2001
Donnie Darko,2001
K-PAX,2001
On the Line,2001
Thirteen Ghosts,2001
Bones,2001
Wasabi,2001
Amélie,2001
Domestic Disturbance,2001
The Man Who Wasn't There,2001
The One,2001
The Flintstones: On the Rocks,2001
Mickey's Magical Christmas: Snowed in at the House of Mouse,2001
Heist,2001
Life as a House,2001
Maze,2001
Shallow Hal,2001
Novocaine,2001
The Wash,2001
Black Knight,2001
Out Cold,2001
Sidewalks of New York,2001
Spy Game,2001
In the Bedroom,2001
The Affair of the Necklace,2001
Behind Enemy Lines,2001
Texas Rangers,2001
Beethoven's 4th,2001
Pokemon: Mewtwo Returns,2001
No Man's Land,2001
The Day Reagan Was Shot,2001
Iris,2001
Lantana,2001
Not Another Teen Movie,2001
The Royal Tenenbaums,2001
The Other Side of Heaven,2001
Vanilla Sky,2001
The Shipping News,2001
A Beautiful Mind,2001
Aida of the Trees,2001
The Business of Strangers,2001
How High,2001
Jimmy Neutron: Boy Genius,2001
Joe Somebody,2001
The Majestic,2001
Momo,2001
Ali,2001
Kate & Leopold,2001
Gosford Park,2001
Monster's Ball,2001
I Am Sam,2001
Black Hawk Down,2001
Charlotte Gray,2001
Spider-Man,2002
The Lord of the Rings: The Two Towers,2002
Star Wars: Episode II - Attack of the Clones,2002
Harry Potter and the Chamber of Secrets,2002
My Big Fat Greek Wedding,2002
Signs,2002
Austin Powers in Goldmember,2002
Men in Black II,2002
Ice Age,2002
Chicago,2002
Impostor,2002
Orange County,2002
Snow Dogs,2002
State Property,2002
The Count of Monte Cristo,2002
Kung Pow! Enter the Fist,2002
The Mothman Prophecies,2002
Storytelling,2002
A Walk to Remember,2002
Birthday Girl,2002
Raaz,2002
Slackers,2002
Big Fat Liar,2002
Collateral Damage,2002
Rollerball,2002
Crossroads,2002
Hart's War,2002
John Q.,2002
Return to Never Land,2002
Super Troopers,2002
Big Bad Love,2002
Dragonfly,2002
Queen of the Damned,2002
Cinderella II: Dreams Come True,2002
40 Days and 40 Nights,2002
We Were Soldiers,2002
All About the Benjamins,2002
The Time Machine,2002
The Laramie Project,2002
Kissing Jessica Stein,2002
Harrison's Flowers,2002
Resident Evil,2002
Showtime,2002
The Hunchback of Notre Dame II,2002
Ali G Indahouse,2002
Blade II,2002
E.T. the Extra-Terrestrial,2002
Sorority Boys,2002
Stolen Summer,2002
Clockstoppers,2002
Death to Smoochy,2002
No Such Thing,2002
Panic Room,2002
The Rookie,2002
Big Trouble,2002
High Crimes,2002
National Lampoon's Van Wilder,2002
The Cat's Meow,2002
Changing Lanes,2002
Frailty,2002
Harvard Man,2002
The Sweetest Thing,2002
Murder by Numbers,2002
The Scorpion King,2002
Jason X,2002
Life or Something Like It,2002
The Salton Sea,2002
The Gathering Storm,2002
Deuces Wild,2002
Hollywood Ending,2002
The Lady and the Duke,2002
The New Guy,2002
Ultimate X: The Movie,2002
Unfaithful,2002
Star Wars Episode II: Attack of the Clones,2002
About a Boy,2002
The Believer,2002
The Importance of Being Earnest,2002
Path to War,2002
CQ,2002
Enough,2002
Insomnia,2002
Spirit: Stallion of the Cimarron,2002
The Sum of All Fears,2002
Undercover Brother,2002
Bad Company,2002
Divine Secrets of the Ya-Ya Sisterhood,2002
Ivans Xtc,2002
The Bourne Identity,2002
The Dangerous Lives of Altar Boys,2002
Scooby-Doo,2002
Windtalkers,2002
Air Bud: Seventh Inning Fetch,2002
American Psycho II: All American Girl,2002
Juwanna Mann,2002
Lilo & Stitch,2002
Minority Report,2002
Sunshine State,2002
Point of Origin,2002
Hey Arnold!: The Movie,2002
Lovely & Amazing,2002
Mr. Deeds,2002
Pumpkin,2002
Like Mike,2002
The Powerpuff Girls Movie,2002
The Crocodile Hunter: Collision Course,2002
Halloween: Resurrection,2002
Reign of Fire,2002
Road to Perdition,2002
Eight Legged Freaks,2002
K-19: The Widowmaker,2002
Stuart Little 2,2002
Tarzan & Jane,2002
The Country Bears,2002
Who is Cletis Tout?,2002
Full Frontal,2002
Martin Lawrence Live: Runteldat,2002
The Master of Disguise,2002
Tadpole,2002
The Adventures of Tom Thumb and Thumbelina,2002
The Good Girl,2002
Spy Kids 2: The Island of Lost Dreams,2002
24 Hour Party People,2002
Blood Work,2002
XXX,2002
